panel,lambda_os,group_size,idle_ratio_mean,idle_ratio_std,idle_ratio_pct
b,0.7,32,0.25351301402128856,0.002376917605280331,25.351301402128858
b,0.8,32,0.23004000408712266,0.0026544188474316925,23.004000408712265
b,0.9,32,0.2111005847993033,0.0016493840986633338,21.11005847993033
b,1.0,32,0.19408461956178077,0.0019757862750729147,19.408461956178076
c,0.2,2,0.920466810265439,0.009499764201923307,92.0466810265439
c,0.3,2,0.8804760376713106,0.013992878733607838,88.04760376713105
c,0.4,2,0.8513054669147668,0.01410893653077094,85.13054669147668
c,0.5,2,0.8191091954539896,0.022789799373338974,81.91091954539897
c,0.6,2,0.8025254287833345,0.016902111413872697,80.25254287833346
c,0.7,2,0.7671932230807101,0.025556317256396843,76.71932230807101
c,0.8,2,0.7551775161214629,0.020746315969661314,75.51775161214628
c,0.9,2,0.7264843443459506,0.024772739033777202,72.64843443459506
c,1.0,2,0.7048653626586469,0.023806842587870143,70.48653626586469
c,0.2,4,0.8458271894406175,0.012899877723145194,84.58271894406175
c,0.3,4,0.78667767273819,0.016938624245641454,78.667767273819
c,0.4,4,0.7414114724811245,0.014676222189622737,74.14114724811245
c,0.5,4,0.6933184558652953,0.012702377431964049,69.33184558652952
c,0.6,4,0.6601044556464989,0.017482477764795033,66.01044556464988
c,0.7,4,0.6251984250808692,0.018768905922898826,62.51984250808692
c,0.8,4,0.5944065931215494,0.022475930404268752,59.44065931215494
c,0.9,4,0.5647407819200301,0.019177285039644627,56.474078192003006
c,1.0,4,0.5383739477675207,0.024036355852102925,53.83739477675207
c,0.2,8,0.7330704485746967,0.010448225028637202,73.30704485746968
c,0.3,8,0.6540138327346551,0.011997611291973914,65.40138327346551
c,0.4,8,0.5867894210222826,0.013689208424287377,58.67894210222826
c,0.5,8,0.5312975933731827,0.013188727559326655,53.12975933731827
c,0.6,8,0.48968270972312056,0.011311191720853214,48.968270972312055
c,0.7,8,0.4552076517345828,0.011125296822177343,45.52076517345828
c,0.8,8,0.42227327900766026,0.012050803587632136,42.22732790076603
c,0.9,8,0.3948239956487565,0.0113170192336093,39.48239956487565
c,1.0,8,0.3678294313772199,0.013742493127548838,36.78294313772199
c,0.2,16,0.5773227738637757,0.005829413012555626,57.732277386377575
c,0.3,16,0.48237919701098003,0.0057787671858406855,48.237919701098
c,0.4,16,0.41524045170916163,0.006531470374995869,41.52404517091616
c,0.5,16,0.36467772907122026,0.006472339439258482,36.467772907122026
c,0.6,16,0.3248838265573226,0.006016557135131447,32.48838265573226
c,0.7,16,0.29389441960063656,0.005560860281880789,29.389441960063657
c,0.8,16,0.2670849562499508,0.0046649093017715176,26.70849562499508
c,0.9,16,0.24642763194774098,0.005738157616834572,24.642763194774098
c,1.0,16,0.22703732865576598,0.006951663309444508,22.703732865576598
c,0.2,24,0.4760724896816093,0.004225952998870272,47.60724896816093
c,0.3,24,0.3848302162189013,0.0046576577152697895,38.48302162189013
c,0.4,24,0.32224869381153837,0.004138307325549506,32.22486938115384
c,0.5,24,0.2772113801616506,0.003916361334244908,27.72113801616506
c,0.6,24,0.24434637140946439,0.003371564989488618,24.43463714094644
c,0.7,24,0.21665089877391563,0.002791258109260202,21.665089877391562
c,0.8,24,0.19616908798949445,0.0029571953512941805,19.616908798949446
c,0.9,24,0.17784090795539442,0.002592790197250202,17.78409079553944
c,1.0,24,0.16318681600656135,0.0028299612765358647,16.318681600656134
c,0.2,32,0.4049565300383831,0.0034609171355860606,40.495653003838314
c,0.3,32,0.3190601817968314,0.0032383257359397508,31.906018179683137
c,0.4,32,0.2620892244458607,0.003510027638962372,26.20892244458607
c,0.5,32,0.2237449179939741,0.0018767787236920722,22.37449179939741
c,0.6,32,0.1939394883221553,0.002015146480307939,19.39394883221553
c,0.7,32,0.17192984628491814,0.0017770685958030208,17.192984628491814
c,0.8,32,0.15382746107991907,0.0014086856266253957,15.382746107991906
c,0.9,32,0.1395578017281475,0.0020773704452444848,13.95578017281475
c,1.0,32,0.12770133801317923,0.0015155303512146964,12.770133801317924
